source,source_url,posted_date,title,url,deadline,eligible_applicants,application_method,requires_department_recommendation,requires_teacher_recommendation,requires_project_or_research_output,attachments,status,priority,application_angle,notes,last_checked
成大官網 / All Notices,https://web.ncku.edu.tw/p/422-1000-1024.php?Lang=en,,,,,,,,,,,,,,,
成大生輔組,https://assistance-osa.ncku.edu.tw/,,,,,,,,,,,,,,,
成大獎學金系統,https://sgd.adm.ncku.edu.tw/scholarship/,,,,,,,,,,,,,,,
KUAP 成大公告平台,https://cc.ncku.edu.tw/p/412-1213-29125.php?Lang=zh-tw,,,,,,,,,,,,,,,
成大水利系官網,https://www.hyd.ncku.edu.tw/,,,,,,,,,,,,,,,
成大工學院公告,https://eng.ncku.edu.tw/,,,,,,,,,,,,,,,
成大生輔組,https://assistance-osa.ncku.edu.tw/,,繳交獎助學金「切結書」的注意事項【提醒：切結書一旦繳交，即不可再要求取回】,https://assistance-osa.ncku.edu.tw/var/file/51/1051/img/987/792352105.pdf,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:08:45.931Z
成大工學院公告,https://eng.ncku.edu.tw/,,獎助學金補助辦法,https://eng.ncku.edu.tw/p/412-1014-31696.php?Lang=zh-tw,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:08:45.931Z
成大工學院公告,https://eng.ncku.edu.tw/,,獎助學金補助成果,https://eng.ncku.edu.tw/p/412-1014-31697.php?Lang=zh-tw,,,,,,待確認,,C. 值得追蹤,待判斷,,,2026-07-10T18:08:45.931Z
成大獎學金系統,https://sgd.adm.ncku.edu.tw/scholarship/,,全校性獎學金查詢,https://sgd.adm.ncku.edu.tw/scholarship/Query.asp,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:09:33.402Z
成大獎學金系統,https://sgd.adm.ncku.edu.tw/scholarship/,,得獎查詢,https://sgd.adm.ncku.edu.tw/scholarship/query_got.asp,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:09:33.402Z
成大獎學金系統,https://sgd.adm.ncku.edu.tw/scholarship/,,得獎證明,https://sgd.adm.ncku.edu.tw/scholarship/query_got_p.asp,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:09:33.402Z
成大工學院 / 袁福國學長獎助學金補助辦法,https://eng.ncku.edu.tw/p/412-1014-31696.php?Lang=zh-tw,,袁福國學長獎助學金,https://eng.ncku.edu.tw/p/412-1014-31686.php?Lang=zh-tw,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
成大工學院 / 袁福國學長獎助學金補助辦法,https://eng.ncku.edu.tw/p/412-1014-31696.php?Lang=zh-tw,,國立成功大學工學院袁福國學長獎助學金設置要點 113.10.24（PDF）,https://eng.ncku.edu.tw/var/file/14/1014/img/2896/303758402.pdf,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
成大工學院 / 袁福國學長獎助學金補助辦法,https://eng.ncku.edu.tw/p/412-1014-31696.php?Lang=zh-tw,,國立成功大學工學院袁福國學長獎助學金申請表(出席國際學術會議使用)（ODT）,https://eng.ncku.edu.tw/var/file/14/1014/img/5031/134483475.odt,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
成大工學院 / 袁福國學長獎助學金補助辦法,https://eng.ncku.edu.tw/p/412-1014-31696.php?Lang=zh-tw,,國立成功大學工學院袁福國學長獎助學金申請表(參加國際科研競賽使用)（ODT）,https://eng.ncku.edu.tw/var/file/14/1014/img/5031/860748037.odt,,,,,,待確認,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
成大工學院 / 袁福國學長獎助學金補助辦法,https://eng.ncku.edu.tw/p/412-1014-31696.php?Lang=zh-tw,,國立成功大學工學院袁福國學長獎助學金出國報告書格式（ODT）,https://eng.ncku.edu.tw/var/file/14/1014/img/5031/884079727.odt,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
成大工學院 / 袁福國學長獎助學金申請時程,https://eng.ncku.edu.tw/p/412-1014-32013.php?Lang=zh-tw,,袁福國學長獎助學金,https://eng.ncku.edu.tw/p/412-1014-31686.php?Lang=zh-tw,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
成大工學院 / 袁福國學長獎助學金補助成果,https://eng.ncku.edu.tw/p/412-1014-31697.php?Lang=zh-tw,,袁福國學長獎助學金,https://eng.ncku.edu.tw/p/412-1014-31686.php?Lang=zh-tw,,,,,,,,C. 值得追蹤,待判斷,,,2026-07-10T18:10:28.863Z
